company_name_id,company_name,url,contact_first_name,contact_last_name,contact_title,contact_email,contact_phone,city,state,country,zip_code,year_founded,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,financial_info,source_count,data_types,data_comments,example_uses,data_impacts,date_created,last_updated,display,survey_submitted,vetted,vettedByCompany,submitted_through_website,locked,notes
app-studio,app studio,www.subway.so,,,,,,Songpa-gu,Seoul,kr,05690,2014,1 - 10,Private,,Transportation,,Public safety,A subway follow-up mobile app is characterized by enabling users to grasp subway service easily with subway route map through simulation in real or expected time. It helps using subway service in a more visualized way.,,,,,,,[],2016-02-03 14:39:44.636024,2016-02-03 14:39:44.773773,True,,,,,,
aptap,APTAP,www.ygsvc.com,,,,,,Goyang-si,Gyeonggi-do,kr,10401,2013,1 - 10,Private,Commission,Lifestyle/Consumer,,"Housing access, Informacion access","APTAP, a free-of-charge apartment information service, enables the apartment administration office to let apartment residents know notices in real time. The service is limited to apartment complexes with which free-of-charge collaboration contracts are concluded.  ",,,,,,,[],2016-02-03 14:39:53.294717,2016-02-03 14:39:53.441744,True,,,,,,
aptzib,APTzib,"www.aptzib.com
",,,,,,Dongdaemun-gu,Seoul,kr,02597,2014,1 - 10,Private,Housing/Real Estate,"Advertising, Mediation fee",,"Consumer empowerment, Financial access",,,,,,,,[],2016-02-03 14:40:40.142301,2016-02-03 14:40:40.476308,True,,,,,,
aramin,aram-in,www.aram-in.com,,,,,,Seocho-gu,Seoul,kr,00000,2014,1 - 10,Private,Data/Technology,Advertising,,Citizen engagement and participation,"We have developed ""Smart Butterfly"", a mass traffic navigation using public data. ",,,,,,,[],2016-02-03 14:39:35.726636,2016-02-03 14:39:36.787813,True,,,,,,
archidraw,archidraw,archidraw.net,,,,,,Geumcheon-gu,Seoul,kr,08513,2014,1 - 10,Private,Geospatial/Mapping,Software licensing,,Housing access,We plan to provide the services of client connection and free-of-charge advertising on the basis of a clear and reliable small architecture (remodeling & interior) company. ,,,,,,,[],2016-02-03 14:39:50.774115,2016-02-03 14:39:50.928554,True,,,,,,
artpq,artpq,http://www.artpq.com/,,,,,,Jeju-si,Jeju-do,kr,63309,2000,11 - 50,Private,Lifestyle/Consumer,"Consulting, Software licensing",,"Citizen engagement and participation, Travel information","Artpq concentrates on the development of internet-related application softwares, the building of database and the development of web-related technology in the IT field; the development of Jeju culture contents, multimedia contents, game and online contents, and character and cultural art goods in the CT field.",,,,,,,[],2016-02-03 14:40:08.862258,2016-02-03 14:40:09.247831,True,,,,,,
atek,ATEK,http://www.atek21.com,,,,,,Yuseong-gu,Daejeon,kr,34016,2004,11 - 50,Private,Data/Technology,"Data analysis for clients, Database licensing",,Consumer empowerment,"Established in 2004, ATEK, Inc. has placed top priority on the supply of safe information protection system under the mottoes of the development of information protection industry and the shared growth with customers on the basis of many-year technical experience in network environments such as government agencies, universities and private corporations.",,,,,,,[],2016-02-03 14:40:11.757382,2016-02-03 14:40:12.044520,True,,,,,,
b2come,B2COME,baro-match.co.kr,,,,,,Jeonju-si,Jeollabuk-do,kr,54976,2011,1 - 10,Private,Advertising,Sports,,Citizen engagement and participation,"BARO-MATC is a convenient soccer team matching app that enables to easily find a team to play with and a stadium to play in on a hoped-for date and time. We operate services, such as soccer & futsal team arrangement, stadium information, facilities reservation system, and soccer record management.   ",,,,,,,[],2016-02-03 14:39:38.325234,2016-02-03 14:39:38.459944,True,,,,,,
b2en,B2en,http://www.:qEu?#.com,,,,,,Yeongdeungpo-gu,Seoul,kr,07217,2004,51-200,Private,Data/Technology,"Consulting, Data analysis for clients, Software licensing",,,"In 2004, our company started with top-class experts with project experience and expertise under the banner of ""Let's create a better world with data.""   ",,,,,,,[],2016-02-03 14:40:07.191630,2016-02-03 14:40:07.344958,True,,,,,,
bang9,bang9,http://www.bang9app.com,,,,,,,,kr,00000,,,Private,Data/Technology,Advertising,,Consumer empowerment,"Search for Studio Apartments, Efficiency Apartments, Apartments / Rooms by Key-Money Lease or Monthly Rent across the Country",,,,,,,[],2016-02-03 14:40:34.959330,2016-02-03 14:40:35.192736,True,,,,,,
bc-card-,bc card ,https://play.google.com/store/apps/details?id=com.bccard.worldcup&hl=ko,,,,,,Seocho-gu,Seoul,kr,06654,1983,,Private,Business/Legal Services,Advertising,,Financial access,"We provide Chines travelers with information on money exchange, Seoul subway, airport bus and major shopping site coupons   ",,,,,,,[],2016-02-03 14:40:29.391831,2016-02-03 14:40:29.555285,True,,,,,,
beetle,Beetle,-,,,,,,Nam-gu,Busan,kr,48534,2011,1 - 10,Private,Data/Technology,Data analysis for clients,,,,,,,,,,[],2016-02-03 14:40:20.493486,2016-02-03 14:40:20.782619,True,,,,,,
biodiv,biodiv,www.biodiv.co.kr,,,,,,Nowon-gu,Seoul,kr,01797,2013,1 - 10,Private,Consulting,"Food/Agriculture, Consulting, Scientific Research",,"Environment and climate change, Food access and supply",We are an enterprise that keeps biodiversity value in agriculture and capitalizes it. Biodiv products are produced with the help of diverse living creatures. ,,,,,,,[],2016-02-03 14:39:45.443685,2016-02-03 14:39:45.583881,True,,,,,,
biotube,biotube,www.biotube.co.kr,,,,,,Gwangjin-gu,Seoul,kr,05029,2013,1 - 10,Private,Lifestyle/Consumer,Product production and sale,,Healthcare access,Biotube is a compound name of BIO (bioscience) and TUBE (delivery passage). We perform a basic study of fields related to beauty and health and  produce practical products that help consumers enjoy a healthy life.   ,,,,,,,[],2016-02-03 14:40:01.570746,2016-02-03 14:40:01.570914,True,,,,,,
bispro,bispro,http://www.bispro.co.kr,,,,,,Seocho-gu,Seoul,kr,06753,2004,,Private,Data/Technology,Consulting,,Financial access,"We support customer marketing tasks, and analyze relevant commercial sphere, customers, marketing areas, activity management functions etc.",,,,,,,[],2016-02-03 14:40:30.900515,2016-02-03 14:40:30.900748,True,,,,,,
black-yak,black yak,https://play.google.com/store/apps/details?id=ko.mountainbook,,,,,,,,kr,00000,,,,Lifestyle/Consumer ,,,Public safety ,"Black Yak Mountainbook is a useful application to support outdoor activities, such as mountain climbing, rock climbing, tracking, hiking and mountain bicycling. The application enables to check the course information necessary for tracking or mountain climbing and make GPS records. Its user can make records of his outdoor activities using photos, memos, location information.  ",,,,,,,[],2016-02-03 14:40:37.242972,2016-02-03 14:40:37.403485,True,,,,,,
bnl-korea,BNL Korea,www.blessnlove.co.kr,,,,,,Gangnam-gu,Seoul,kr,06171,2013,1 - 10,Private,Lifestyle/Consumer,Product production and sale,,Consumer empowerment,BNL KOREA seeks the convenience of life by upgrading life style and produces hand-made life space design products,,,,,,,[],2016-02-03 14:39:59.908761,2016-02-03 14:39:59.908856,True,,,,,,
bobaedream,bobaedream,http://www.bobaedream.co.kr/,,,,,,Yangcheon-gu,Seoul,kr,07995,2000,51-200,Private,Transportation,Advertising,,"Citizen engagement and participation, Consumer empowerment, Public safety","Unlike other internet sites offering simple vehicle sale information etc, BobaeDream was established to serve customers at reasonable prices, to stabilize the prices of used domestic and foreign automobiles and ultimately to reward customers. ",,,,,,,[],2016-02-03 14:39:40.128191,2016-02-03 14:39:40.261759,True,,,,,,
brush-world,Brush world,www.bw1983.com,,,,,,Pyeongtaek-si,Gyeonggi-do,kr,17969,2006,1 - 10,Private,Environment/Weather,Product production and sale ,,Citizen engagement and participation,"As a manufacturer of environment friendly life necessaries, Brush World, Inc. has made continuous R&D for environment friendly plastic raw materials and products over the past 30 years.  ",,,,,,,[],2016-02-03 14:40:14.296729,2016-02-03 14:40:14.296884,True,,,,,,
carffeine,carffeine,www.carffeine.com,,,,,,Gangnam-gu,Seoul,kr,06151,2013,51 - 200,Private,Advertising,"Data/Technology, Automobile",,"Citizen engagement and participation, Consumer empowerment, Public safety",We take the initiative in doing away with distrust in the after-sales market using the car history information and beefing up the rights and benefits of people. ,,,,,,,[],2016-02-03 14:39:39.889308,2016-02-03 14:39:40.103992,True,,,,,,
cashslide,cashslide,http://site.cashslide.co.kr,,,,,,Seocho-gu,Seoul,kr,06728,2012,51-200,Private,Data/Technology,Advertising,,,"This is a smart phone locking screen app to display recent news and trends on the first screen at a stroke. If locking is released, accumulated cash is available for product purchase, cash refund, donation etc.  ",,,,,,,[],2016-02-03 14:40:33.453466,2016-02-03 14:40:33.608219,True,,,,,,
channel-breezezigbang,Channel Breeze(Zigbang),http://www.chbreeze.com,,,,,,Jongno-gu,Seoul,kr,03190,2012,,,Data/Technology,Advertising,,Housing access,"Jikbang systematically manages all the steps for finding a room. 
If you post the information on your officetel, studio etc at our homepage, you can put it one sale or rent at all neighboring real estate agencies at a stroke.
Make use of Jikbang, even when putting your house on sale or rent.
",,,,,,,[],2016-02-03 14:40:36.315705,2016-02-03 14:40:36.315800,True,,,,,,
cheonam-nonsan-expressway,cheonam nonsan expressway,http://www.cneway.co.kr,,,,,,Gongju-si,Chungcheongnam-do,kr,32600,1997,51-200,Private,Transportation,,,Public safety,"Constructed by private investment, Cheonan-Nonsan Expressway seeks best service, comfort and quicker communication.",,,,,,,[],2016-02-03 14:40:04.415963,2016-02-03 14:40:04.560600,True,,,,,,
ciel,Ciel,www.hellobus.co.kr,,,,,,,,kr,00000,,,,Data/Technology ,Data analysis for clients,,Lifstye benefits,"This is a smart phone service for vehicle location management and arrival notification that helps service providers perform efficient bus management and bus route optimization and provides bus passengers and children with the convenience and safety of bus use by notifying the current locations and busstops of private institute and Kindergarten vehicles and sending an arrival message, if a vehicle enters a notification zone specified by a user.       ",,,,,,,[],2016-02-03 14:40:35.368145,2016-02-03 14:40:35.529017,True,,,,,,
cj-hellovision,CJ HelloVision,http://www.cjhellovision.com,,,,,,Geumcheon-gu,Seoul,kr,08507,2012,,Private,Media,Subscriptions,,,,,,,,,,[],2016-02-03 14:40:29.959896,2016-02-03 14:40:30.110499,True,,,,,,
ckstack,CKSTACK,http://ckstack.com,,,,,,Seongnam-si,Gyeonggi-do,kr,13630,2015,1 - 10,Private,Data/Technology,Software licensing,,Public safety,"We operate ""Our Festivals"" service using the sightseeing/festival information of the Korea Tourism Organization Headquarters.  ",,,,,,,[],2016-02-03 14:40:03.424917,2016-02-03 14:40:03.571519,True,,,,,,
clk-,CLK ,https://play.google.com/store/apps/details?id=ddoraemi.start,,,,,,,,kr,00000,2015,1 - 10,Private,Lifestyle/Consumer,Advertising,,Educational opportunity,"We recommend experience programs suitable for children in view of textbook content, season, distance and preference on the basis of the information their parents provided at the time of signup. They contain the contents of science and technology textbooks.",,,,,,,[],2016-02-03 14:40:39.189157,2016-02-03 14:40:39.324465,True,,,,,,
clunix,clunix,http://www.clunix.com,,,,,,Yeongdeungpo-gu,Seoul,kr,07299,2000,11 - 50,Private,Data/Technology,"Consulting, Solutions business ",,Public safety,We offer cloud computing and supercomputing big data solutions,,,,,,,[],2016-02-03 14:40:29.844938,2016-02-03 14:40:29.845048,True,,,,,,
consilian-eye,consilian eye,,,,,,,,,kr,00000,2014,1 - 10,,Transportation,-,,-,,,,,,,,[],2016-02-03 14:39:51.148009,2016-02-03 14:39:51.148379,True,,,,,,
corezetta,corezetta,http://www.corezetta.com,,,,,,Seongnam-si,Gyeonggi-do,kr,13112,2011,,Private,Data/Technology,"Consulting, Data analysis for clients",,Public safety,"We monitor and provide DMF information, bioequivalence plans, clinical plans, item licenses, and medical fees, which are open data information necessary for developing medicines",,,,,,,[],2016-02-03 14:40:27.274084,2016-02-03 14:40:27.413436,True,,,,,,
creble,creble,http://www.creble.com,,,,,,Yuseong-gu,Daejeon,kr,34047,2009,11 - 50,Private,Data/Technology,"Consulting, Advertising ",,,"As a leader in smart networking, we develop network solution technologies for smart networking and cloud computing and perform R&D and business for network engineering",,,,,,,[],2016-02-03 14:40:31.000629,2016-02-03 14:40:31.165804,True,,,,,,
cufit,cufit,www.cufit.net,,,,,,Seongdong-gu,Seoul,kr,04798,2015,1 - 10,Private,Advertising,"Data/Technology, Geospatial/Mapping, Transportation, Health/Medical",,"Healthcare access, Public safety",,,,,,,,[],2016-02-03 14:39:38.927623,2016-02-03 14:39:38.927857,True,,,,,,
d5insight,d5insight,d5insight.com,,,,,,Seongbuk-gu,Seoul,kr,02832,2015,1 - 10,Private,Data/Technology,User fees for web or mobile access,,Citizen engagement and participation,,,,,,,,[],2016-02-03 14:39:45.167150,2016-02-03 14:39:45.417977,True,,,,,,
dabeeo,dabeeo,www.dabeeo.com,,,,,,Gangseo-gu,Seoul,kr,07563,2012,11 - 50,Private,S/W licensing,"Data/Technology, Geospatial/Mapping",,"Consumer empowerment, Public safety","Not big as G company, but fun as G.
 Drawing global map, dreaming big service as they have
 Making the new and moving forward
 We are Dabeeo",,,,,,,[],2016-02-03 14:39:43.840873,2016-02-03 14:39:43.841109,True,,,,,,
datepop,datepop,http://www.datepop.co.kr,,,,,,Gangnam-gu,Seoul,kr,06178,2014,11 - 50,Private,Geospatial/Mapping,Advertising,,Citizen engagement and participation,"We introduce dating courses in Seoul area: tourist attractions, famous restaurants, performances etc. ",,,,,,,[],2016-02-03 14:40:18.682813,2016-02-03 14:40:18.908656,True,,,,,,
design-tech,Design tech,,,,,,,Suwon-si,Gyeonggi-do,kr,16219,2012,1 - 10,Private,,,,Public safety,"A service app making holiday journey home and weekend picnic pleasant, safe and delicious.                  
A mobile service based on information design (infographic)                                                          
Information on weekend expressway congestion by route, safe road driving (death accidents and season-specific cautions), route-specific regional festivals, culinary maps (route-specific rest place food), and rest places ",,,,,,,[],2016-02-03 14:40:22.670205,2016-02-03 14:40:23.069486,True,,,,,,
designzoos,Designzoos,https://play.google.com/store/apps/developer?id=designzoos(%EB%94%94%EC%9E%90%EC%9D%B8%EC%A3%BC%EC%8A%A4)&hl=ko,,,,,,,,kr,00000,2013,1 - 10,Private,Environment/Weather,"Consulting, User fees for web or mobile access",,Consumer empowerment,,,,,,,,[],2016-02-03 14:40:05.469566,2016-02-03 14:40:05.750016,True,,,,,,
devdragon,devdragon,www.devdragon.co.kr,,,,,,Dong-gu,Daegu,kr,41256,2013,1 - 10,Private,Advertising,"Data/Technology, Media",,"Citizen engagement and participation, Consumer empowerment, Public safety","Devdragon builds a culture of contents for making everyone feel joy in a mobile world. 
We distribute a mobile contents culture, sharing the significant values of change.
",,,,,,,[],2016-02-03 14:39:43.513282,2016-02-03 14:39:43.761003,True,,,,,,
devine-security-,Devine security ,,,,,,,Geumcheon-gu,Seoul,kr,08513,2014,1 - 10,Private,Information security,"Data analysis for clients, Database licensing",,Public safety,,,,,,,,[],2016-02-03 14:39:58.318864,2016-02-03 14:39:58.318953,True,,,,,,
dongholife,dongholife,dongholife.co.kr,,,,,,Gangseo-gu,Busan,kr,46704,2002,1 - 10,Private,Environment/Weather,Product production and sale ,,Environment and climate change,,,,,,,,[],2016-02-03 14:40:01.621940,2016-02-03 14:40:01.622047,True,,,,,,
drapt,DrApt,http://www.drapt.com,,,,,,Seocho-gu,Seoul,kr,06572,1999,,,Data/Technology,Advertising,,Consumer empowerment,"DrApt is characterized by one-stop services of providing an end user with information on housing financing products, including optimum loans recommended by Korea Housing-Finance Corporation, and real-estate transaction information and enabling to apply for loans",,,,,,,[],2016-02-03 14:40:35.554405,2016-02-03 14:40:35.800493,True,,,,,,
druginfo,druginfo,www.druginfo.kr,,,,,,Seocho-gu,Seoul,kr,06621,1983,51-200,Private,Data/Technology,"Advertising, Consulting",,Consumer empowerment,Medical information site,,,,,,,[],2016-02-03 14:40:07.630595,2016-02-03 14:40:07.780561,True,,,,,,
easy-check-,easy check ,https://play.google.com/store/apps/details?id=kr.kicc.hotplace,,,,,,,,kr,00000,,1 - 10,Private,Data/Technology,"Data analysis for clients, User fees for web or mobile access",,"Consumer empowerment, Food access and supply","Hot Place is a location information service to offer information on famous restaurants, dating courses etc using objective big data  ",,,,,,,[],2016-02-03 14:40:38.839698,2016-02-03 14:40:38.997824,True,,,,,,
easygo,easygo,http://www.easygo.biz,,,,,,Guro-gu,Seoul,kr,08270,2012,1 - 10,Private,Advertising,"Data/Technology, Lifestyle/Consumer, Media, Travel",,"Citizen engagement and participation, Travel Market",A service to analyze your propensity through star scores you give to your travel places you have been to and then to recommend new travel places suitable for you   ,,,,,,,[],2016-02-03 14:39:37.123445,2016-02-03 14:39:37.250870,True,,,,,,
ecobrain,ecobrain,www.ecobrainkr.com,,,,,,Geumcheon-gu,Seoul,kr,08512,2009,,Private,Environment/Weather,"Consulting, Data analysis for clients",,Environment and climate change,This is an environment monitoring system offering information on air pollutants expansion prediction that predicts the expansion paths of pollutants from plants and offers company-specific contributions to high density phenomena at specific points.    ,,,,,,,[],2016-02-03 14:40:25.334445,2016-02-03 14:40:25.492911,True,,,,,,
ecosave,eco-save,www.eco-save.co.kr,,,,,,Guro-gu,Seoul,kr,08381,2007,1 - 10,Private,Environment/Weather,Government contract,,"Citizen engagement and participation, Environment and climate change","Eco-save, Inc. is an environment friendly green technology certified enterprise that was founded under the mottoes of the change in attitude towards recycling and the attraction of new values from resources.",,,,,,,[],2016-02-03 14:40:14.192290,2016-02-03 14:40:14.192525,True,,,,,,
emotionbooks,e-motionbooks,www.2motionbooks.com,,,,,,Geumcheon-gu,Seoul,kr,08513,2014,1 - 10,Private,Education,Software licensing,,Educational opportunity,We provide traditional culture education contents series service using open data.,,,,,,,[],2016-02-03 14:40:14.915850,2016-02-03 14:40:15.146396,True,,,,,,
enjoyworks,enjoyworks,http://www.enjoyworks.co.kr,,,,,,Seongbuk-gu,Seoul,kr,02772,2014,11 - 50,Private,Data/Technology,"Application,Web development",,Consumer empowerment,"We are a smart solution development leader that has gained various technologies and knowhow by developing self-services, expanding outsourcing development and joining government-funded projects. We also focus on the development of solutions for supporting web, mobile and other platforms.",,,,,,,[],2016-02-03 14:39:43.218336,2016-02-03 14:39:43.218585,True,,,,,,
eplesoft,eplesoft,http://www.eplesoft.com,,,,,,Gangnam-gu,Seoul,kr,06035,2012,1 - 10,Private,Education,Consulting,,Educational opportunity,Eplesoft maximizes the profit models of clients by smart key technology,,,,,,,[],2016-02-03 14:40:09.329201,2016-02-03 14:40:09.552953,True,,,,,,
estorm,estorm,http://estorm.co.kr/,,,,,,Geumcheon-gu,Seoul,kr,08589,2000,11 - 50,Private,Business/Legal Services,Software licensing,,"Financial access, Management Productivity",Estorm is an idea agency that expresses good ideas and connects more people with each other.,,,,,,,[],2016-02-03 14:39:57.165452,2016-02-03 14:39:57.165798,True,,,,,,
ezfarm,ezfarm,http://www.ezfarm.co.kr/,,,,,,Anyang-si,Gyeonggi-do,kr,13951,2000,51-200,Private,Data/Technology,"Consulting, Data analysis for clients, Database licensing",,Public safety,"Ezfarm, Inc. was established to create new values by applying IT to agriculture and farm villages. Its matrix was Agricultural Information System Chamber (Prof. Choi Young-chan), College of Agriculture and Life Sciences, Seoul National University.",,,,,,,[],2016-02-03 14:40:08.321744,2016-02-03 14:40:08.777299,True,,,,,,
f1security,f1security,www.f1security.co.kr,,,,,,Guro-gu,Seoul,kr,08393,2011,11 - 50,Private,Data/Technology,Consulting,,Public safety,"F1 Security, Inc. is an information protection consulting firm that has excellent information protection consultants with many-year experience. We perform certification consulting such as ISMA, PIMS and ISO27001, information protection management system consulting, weak point diagnosis, mock hacking, information protection solution development and building, etc. ",,,,,,,[],2016-02-03 14:39:48.008933,2016-02-03 14:39:48.009178,True,,,,,,
famnet,famnet,http://www.famnet.co.kr,,,,,,Seocho-gu,Seoul,kr,06693,2011,11 - 50,Private,Food/Agriculture,Consulting,,Food access and supply,"Our goal is to make regions and agriculture develop by offering practical marketing consulting so that regional producers can operate their business independently. To this end, Farment has established an organizational system for business and a network for distribution",,,,,,,[],2016-02-03 14:40:04.932618,2016-02-03 14:40:05.442440,True,,,,,,
fesfarm,FesFarm,https://play.google.com/store/apps/details?id=com.hootsw.fesfarm,,,,,,,,kr,00000,2015,Jan-50,,Lifestyle/Consumer ,Advertising ,,Citizen engagement and participation,"FesFarm, a direct sale service of farm products on the basis of user location",,,,,,,[],2016-02-03 14:40:37.084033,2016-02-03 14:40:37.212685,True,,,,,,
first-lady,first lady,,,,,,,,,kr,00000,2014,1 - 10,Private,Fianace/Investment,,,"Citizen engagement and participation, Consumer empowerment",,,,,,,,[],2016-02-03 14:40:20.806703,2016-02-03 14:40:20.950140,True,,,,,,
firstdis-,FirstDIS ,https://play.google.com/store/apps/details?id=kr.co.firstdis.SmartDUR,,,,,,Geumcheon-gu,Seoul,kr,08630,,,Private,Lifestyle/Consumer,"Lifestyle/Consumer, Scientific Research",,Healthcare access,"Smart DUR enables to easily manage the taking of drugs by the registration of medicine information, prescript details and prescribed drugs. You can ring a member drugstore directly using the member drugstore search menu. 
Smart DUR allows to check whether there is no medicine with drug interaction, whether dosage is appropriate, whether there is no drug duplication, what cautions there are for age groups, pregnant and lactating women. In addition, the app makes it possible to know what food is harmful and what should be avoided in case of taking medicine. ",,,,,,,[],2016-02-03 14:40:38.494112,2016-02-03 14:40:38.628692,True,,,,,,
fly-book-,FLY BOOK ,https://play.google.com/store/apps/details?id=com.flybook.flybook&hl=ko,,,,,,,,kr,00000,,,,Education,Advertising,,Educational opportunity,An app to recommend the books acquaintances read and the books suitable for myself. ,,,,,,,[],2016-02-03 14:40:37.948030,2016-02-03 14:40:38.078119,True,,,,,,
flyingmountain,Flyingmountain,http://www.flyingmountain.kr,,,,,,Dong-gu,Daegu,kr,41260,2014,1 - 10,Private,Geospatial/Mapping,"Advertising, Transaction fee",,Healthcare access,Our company has eight workers with proven expertise and the right background to develop an appealing app for health-conscious smartphone users.,,,,,,,[],2016-02-03 14:40:38.252958,2016-02-03 14:40:38.253052,True,,,,,,
forgood,ForGood,,,,,,,,,kr,00000,,1 - 10,Private,Data/Technology,,,"Environment and climate change, Public safety",,,,,,,,[],2016-02-03 14:40:01.796487,2016-02-03 14:40:01.796636,True,,,,,,
funnywork,Funnywork,www.funnywork.co.kr,,,,,,Mapo-gu,Seoul,kr,04165,2001,11 - 50,Private,Data/Technology,"Consulting, Data analysis for clients, Information system construction",,Citizen engagement and participation,"Established in the name of E-Business Institute in 2001, Funnywork has focused on system development and maintenance in financial and medical fields. We have expanded our business area into SI / SM, solution and E-BIZ for the improvement of customer service, and makes efforts to contribute toward the development of customers' information system.     ",,,,,,,[],2016-02-03 14:40:10.188056,2016-02-03 14:40:10.188224,True,,,,,,
